competitorname,toffee_type,sugar_percent,price_percent,win_percent,performance
WertherÕs Original Caramel,Caramel,18.6,26.699999000000002,41.904308,Average
Laffy Taffy,Fruity,22.0,11.600000000000001,41.389557,Average
Pop Rocks,Fruity,60.399997000000006,83.700001,41.265511,Average
Dum Dums,Fruity,73.199999,3.4000002,39.460556,Low Performer
Now & Later,Fruity,22.0,32.499999,39.4468,Low Performer
Fun Dip,Fruity,73.199999,32.499999,39.185505,Low Performer
Lemonhead,Fruity,4.6,10.4,39.141056,Low Performer
Warheads,Fruity,9.3000002,11.600000000000001,39.011898,Low Performer
Charleston Chew,Chocolate,60.399997000000006,51.099998,38.975037,Low Performer
Candy Corn,Other,90.600002,32.499999,38.010963,Low Performer
Nestle Smarties,Chocolate,26.699999000000002,97.600001,37.887188,Low Performer
Pixie Sticks,Other,9.3000002,2.3,37.722336,Low Performer
Red vines,Fruity,58.099997,11.600000000000001,37.348522,Low Performer
Chewey Lemonhead Fruit Mix,Fruity,73.199999,51.099998,36.017628,Low Performer
Ring pop,Fruity,73.199999,96.49999700000001,35.290756,Low Performer
Sixlets,Chocolate,22.0,8.1,34.722,Low Performer
Strawberry bon bons,Fruity,56.900001,5.7999998,34.578991,Low Performer
Caramel Apple Pops,Fruity,60.399997000000006,32.499999,34.517681,Low Performer
Haribo Happy Cola,Other,46.5,46.5,34.158958,Low Performer
Sugar Babies,Caramel,96.49999700000001,76.700002,33.43755,Low Performer
One dime,Other,1.0999999999999999,11.600000000000001,32.261086,Low Performer
Sugar Daddy,Caramel,41.800000999999995,32.499999,32.230995,Low Performer
Root Beer Barrels,Hard Candy,73.199999,6.899999800000001,29.703691,Low Performer
Jawbusters,Fruity,9.3000002,51.099998,28.127439,Low Performer
Super Bubble,Fruity,16.2,11.600000000000001,27.303865,Low Performer
Chiclets,Fruity,4.6,32.499999,24.524988,Low Performer
Boston Baked Beans,Other,31.299999,51.099998,23.417824,Low Performer
Nik L Nip,Fruity,19.7,97.600001,22.445341,Low Performer
